iter	Passed	Remaining
954	13211	622
955	13226	608
956	13239	594
957	13253	581
958	13268	567
959	13281	553
960	13294	539
961	13309	525
962	13321	511
963	13334	497
964	13348	484
965	13361	470
966	13373	456
967	13387	442
968	13400	428
969	13412	414
970	13427	401
971	13440	387
972	13452	373
973	13466	359
974	13481	345
975	13494	331
976	13509	318
977	13521	304
978	13534	290
979	13549	276
980	13562	262
981	13574	248
982	13587	234
983	13600	221
984	13612	207
985	13627	193
986	13640	179
987	13654	165
988	13666	152
989	13679	138
990	13692	124
991	13707	110
992	13721	96
993	13734	82
994	13747	69
995	13761	55
996	13774	41
997	13788	27
998	13800	13
999	13813	0
